"date,user,Comment",user,Comment
23:40,hezkiel taddesse,እረ ኮረና በጣም እየጨመረ ነው፡፡ ስለዚህ አዲሱም ቫይረስ በደንብ እንደገባ አመልካች በመሆኑ ጠበቅ ያል ቁጥጥር ያስፈልጋል ዋጋ እንዳያስከፍለን መጪው በአል በመሆኑ ሰው የሚበዛባቸውን የገበያ ስፍራዎች፣ መዝናኛዎችን፣ በየመንደሩ ያሉ ጫት ማስቃሚያዎችን፤ የህዝብ አውቶብስ ታክሲ እና የመሳሰሉትን ጥብቅ ቁጥጥር ሊደረግ ይገባል፡፡ የየቀኑን የኮቪድ መረጃ መልቀቅ ብቻ ሳይሆን ቁጥጥሩን ማጥበቅ ሊታሰብበት ይገባል፡፡
24:14:00,Feyisa Nigussie,በመቀሌ ከተማ ቤታችው የጥይት መሳሪያ ቤታችው አስቀምጠው እርስ የሚያፋጩ መሳሪያው በመነጠቃቸው ሀገሪቱን ከጦርነት መታደግ መቻሉ እጅግ አስደሳች ነው፡፡
24:16:00,á‹¨áˆ²áˆ³á‹­ áŠ áŒŒáŠ“ áŠ á‹µáˆ›áŒ­,በነገራችን ላይ በጣም እናመሰግናለን ሙስሊሙን አንድ እና ጠንካሮች ስላደረጋችሁን፡፡
24:27:00,Saba Abduraman,የኔ ቀደምት ነብር ታጋይ እኮ ነህ፡፡
24:40:00,Teka Hailu,አትሌት ኃይሌ በጣም ጠቃሚ ነገሮችን በሃገራችን እየሰራ ነው እጅግ ሊደነቅ ይገባል!
24:43:00,alemayehu zeberga,እጅግ በጣም የሚስደስት ነው በእውነት ቡዙዎች መነፅራቸውን ብያስተካክሉ መልካም ነው፡፡
24:58:00,Feyisa Nigussie,ኮረና ቫይረስ በጣም እየጨመረ ነውና እንጠንቀቅ
25:03:00,Konjit Geremew,በመተከል ንፁሀን ወገኖቻችን እየተፈፀመ ያለውና በመተከል ንፁህን ወገኖቻችን ላይ በአስቸኳይ ሊቆም ይገባል፡፡
25:20:00,Rahael Yhdego,ጉድ ነው ሞት እየጨመረ ነው እንጠንቀቅ
25:20:00,Teka Hailu,ኧረ ጉድ አጅሬው ኮረና በቀኑ ሰው እየቀጠፈ ነውና ከትላትቱ በበለጠ ወገን ጠንቀቅ በሉ፡፡
25:21:00,Muna Muna,ዘረኝነትን በጋራ እንከላከል ዘረኝነት መከላከል የሚጀምረው ለዘረኛ አስተሳሰብ እና ድርጊቶች ዘረኛ ምላሽን ባለመስጠት መሆን አለበት፡፡
25:31:00,á‹¨áˆ²áˆ³á‹­ áŠ áŒŒáŠ“ áŠ á‹µáˆ›áŒ­,እንዴት ነው ነገሩ ብዙ ሰው ታሞ ቤቱ ውስጥ ለነፍሱ እየታገለ ነው ያለው ጤና ጣቢያ ሲሄድ እራስህን አግልል ይባላል ወዴት ነው እራሱን የሚያገለው እስቲ ስንቶቻችን ነን ሁለት ክፍል ቤት ያለን ለምን እንደድሮ ትኩረት አይሰጠውም
25:43:00,Hanna Tamrat,በጣም ከባድ ነዉ ጥንቃቄ መዉሰዳችን ግድ ይለናል፡፡
25:52:00,Hanna Tamrat,የቁጠባ ልምድ ማዳበር እጅግ በጣም አሪም ነው ምክንያቱም ከትንሽ ተነስተን ለማደግ መሰረቱ ይህ ስለሆነ፡፡
25:53:00,The Hope,በየቀኑ መርዶ ማርዳት አይጠቅምም አስገዳጅ የጥንቃቄ ህጎች መግስት ተከታትሎ ማስፈፅም አለበት፡፡
26:13:00,Behailu Bayu,ጠቅላይ ሚኒስትር ዐቢይ አሕመድ ቦረና ዞን ያቤሎ ከተማ ገብተዋል ጠቅላይ ሚኒስትሩ ያቤሎ ሲደርሱ የአካባቢው የሀገር ሽማግሌዎችና ነዋሪዎች ደማቅ አቀባበል አድርገውላቸዋል፡፡ 
26:13:00,Feyisa Nigussie,በሀገራዊ የሳይበር ደህንነት ዙሪያ ለቋሚ ኮሚቴ አባላት ሥልጠና መሰጠቱ በጣም አሪፍ ነው፡፡ 
26:29:00,Meles W/Mikael,እጅግ ያማረ የመስፍን ወንድወሰን ግጥም አለ አዳምጡት ጋብዣችዋለሁ ዩቱብ ላይ በስሙ ታገኙላችሙ ውዶችዬ። 
26:34:00,masarat jema,ይሄም የገብረ ክርስቶስ ደስታ በጣም ልዩ ግጥም ነው ፣ ግዜ ስታገኚ እይው፡፡
26:41:00,Kukusha Teshome,መንበረ አክሊሉ በጣም ጀግኒት ነሽ። እግዚያብሄር እድሜና ጤና አብዝቶ ይስጥሽ።
26:42:00,eli eli,የተሻለ ሃሳብ ይዞ የሚመጣ ካለ ለመማር ዝግጁ ነን ለመማር መዘጋጀት አጅግ በጣም ጥሩ ፀጋና አሸናፊነት ነው!
26:54:00,Feyisa Nigussie,አረ ከፈጣሪ ጋር አብዝተን እንጠቀቅ፡፡
