"date,user,Comment",user,Comment
12:11,Ethiopian,ካህናት በፖለቲካዊ ጉዳዮች መሳተፍ ይችላሉን
12:14,hezkiel taddesse,ከሰኔ ሰኔ ድረስ ባሉት ቀናት ታማሚ አገግሞ ወጥቶ ነበር ከሰኔ ሀምሌ ድረስ ባሉት ቀናት ግን ተጨማሪ ህመምተኛ በማገገሚያ ማእከል አለ እንዴት ሊሆን ቻለ በመጀመሪያዎቹ ቀናቶች እንደ ነበረው የአገጋሚዎች ቁጥር ቢሆን ዛሬ ላይ ማገገሚያዎቻችን ከ ሰው በታች በያዙ ነበር የህመምተኞች ቁጥር ሰኔ ከደረሰ በኋላ ከ አልወረደም እና ዳታችሁ አላሳመነኝም ወይንም የታማሚዎች ቁጥር ማነሱን አልወደዳችሁትም ህዝብን ላለማዘናጋት ብላችሁ ይሆናል እኮ
12:27,Tsega Banjaw,ኢቲቪ ገና ዛሬ ትክክለኛ ዜና አቀረበልን
12:28,tenaw aynalem,የኢትዮጵያ ሙስሊም ታሪካዊ ጠላት ማንነው
12:49,Tesfaye Hailu,የጅል ብቻ  ማፈርያ ጥያቄ የሊቃን ትርክት እንደ ታሪክ ጥላቻ እንደ ጀብድ ቅዠት እንደ ሰላም  ወወወቸው
12:53,Wondwosen Tesfaye,ዘመዶቻችሁን ሰብስባችሁ
13:00,Ethiopian,ስራዎች ታከለ ከገጠር አምጥቶ መታወቂያና ፈንድ አዘጋጅቶ በለቀቃቸው ሰዎች ተወሯል  የአበበች የጉምሩክ ቡድን ልዩ ድጋፍ ያደርጋል  የትራንስፖርት ሴክተሩን ለመቆጣጠር ዝግጅት እየተ
13:07,Ethiopian,ቀጥሎ መሞከር የሚፈልገው ማን ነው ልናሳሳነያ ድገንመ ንትበሳሳነያ ንኛእ ውሰ ድንአ አይ ከሁለታችን አንዱን ይጠብቃሉ ልሳሰመደይ ውዶረበ
13:12,Ethiopian,ቀዝቃዛ አየር የማየውን አይነት ሰማይ ነው ዛሬ በሰፈሬ ሰማይ ላይ ያየሁት 
13:16,HIRUT FANTAYE,ለአርሰናል ደጋፊዎች ተልባ ብጥብጥ በአነስተኛ ዋጋ እንደምናቀርብ ከወዲሁ ለማሳወቅ እንገደዳለን
13:18,Ethiopian,ከሸዋ ተውበው ተሰፍቶ ጉራጌ ሸጠው መርካቶ እኛ ታግለን እናንተ ጮማ አንች ፍረጁ ኮቪድ
13:30,tsehay abebe,ሆይ ጣጣ  ወጥቶ ማስተባበል አለበት
13:35,Ethiopian,የአቢር ትችት ስለ ኦሮሞ በንጉሱ ቤተ መንግስት መካተት  በዛው ገልፅ የአገሪትዋን ትልቅ ችግር ሲገልፅ ይጋጫል ያም  አንድ ጥልክ ና አዲስ ስደተኛ ህዝብን ማካተት ነበረ
13:40,Ethiopian,የህዳሴ ግድብ የዋሽንግተን ስምምነት በአዲስ አበባ የህወሀት የመቀሌ ጉባኤ ያቀረበው የህገመንግስት ማሻሻያ ጥያቄ እና ሌሎች ወቅታዊ ጉዳዮች በመረጃ ቲቪ
13:55,Ethiopian,እረሀበሻንቃ በስተመጨረሻ ሊገባልነው
13:55,hani,እግዚኦ ማህረነ ክርስቶሰ በቃችሁ በለን
1.7072E+15,N/A,ልኡል እግዚአብሄር እባክህ ለሀገራችን ሰላምህን ስጣት አቤቱ የአባቶቻችን ፀሎታቸውን ስማቸው፡፡
13:59,Ethiopian,ድንቅ አባባል አመስግናለሁ፡፡
14:05,Ethiopian,አስደሳች ከእንጦጦ ቤተመንግስት፡፡
14:15,Ethiopian,እግዚአብሄር ይመስገን የሞት ቁጥር ቀንሷል መጨረቫውን ያሳምረው አሜን፡፡
14:21,Ethiopian,መልካም የክርስቶስ ልደት  መታሰቢያ በአል ይሁንላችሁ፡፡
14:43,MESERET TILAHUN,ጥሩ ሀሳብ ነው መግፋትህን ቀጥል፡፡
14:52,Ovmcvyv Asxfgjc,እውነት ነው ሁላችን ባለንበት ቦታ አካባቤያችንን ንፁህ አየር እንዲፈጠር እናድርግ አደራቹሁን፡፡
14:57,Ethiopian,ጌታ ሆይ እንደበደላችን እይሁን እንደቸርነትህ ነው እንጂ፡፡
15:05,áŠ áˆáˆ€áˆá‹±áˆŠáˆ‹áˆ…,ተመስገን የኢትዮጵያ አምላክ፡፡
15:07,Ethiopian,አንተ ትሻለኛለህ እይታህ ጥሩ ነው፡፡
